Chembl IDs	Drug generic name	Drug type	Target gene name	Target gene ID	Target type	Action type	Mechanism af action	Disease indication	Disease indication ID	Approval year	Genetically supported drugs	First genetic evidence reported		Genetic evidence 5y prior approval	Genetically discovered drugs	Drug trade names
CHEMBL1201824	ALGLUCOSIDASE ALFA	Enzyme	GAA	ENSG00000171298	missing enzyme	HYDROLYTIC ENZYME	Starch hydrolytic enzyme	Pompe Disease	Orphanet_365	2006	YES [manual curation]		1986	YES	YES	Lumizyme, Myozyme
CHEMBL4594320	AVALGLUCOSIDASE ALFA	Enzyme	GAA	ENSG00000171298	missing enzyme	HYDROLYTIC ENZYME	Glycogen hydrolytic enzyme	Pompe Disease	Orphanet_365	2021	YES [manual curation]		1986	YES	YES	Nexviazyme
CHEMBL1201632	IMIGLUCERASE	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	1994	YES [manual curation]		1987	YES	YES	Cerezyme
CHEMBL1201865	VELAGLUCERASE ALFA	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	2010	YES [manual curation]		1987	YES	YES	Vpriv
CHEMBL1964120	TALIGLUCERASE ALFA	Enzyme	GBA	ENSG00000177628	missing enzyme	HYDROLYTIC ENZYME	Glucocerebroside hydrolytic enzyme	Gaucher Disease	MONDO_0018150	2012	YES [manual curation]		1987	YES	YES	Elelyso
CHEMBL2108888	AGALSIDASE BETA	Enzyme	GLA	ENSG00000102393	missing enzyme	HYDROLYTIC ENZYME	Globotriosylceramide hydrolytic enzyme	Fabry Disease	MONDO_0010526	2003	YES [manual curation]		1989	YES	YES	Fabrazyme
CHEMBL110458	MIGALASTAT	Small molecule	GLA	ENSG00000102393	single protein	STABILISER	Alpha-galactosidase A stabiliser	Fabry Disease	MONDO_0010526	2018	YES		1989	YES	YES	At-1001, gr-181314a,Galafold
CHEMBL3039537	SEBELIPASE ALFA	Enzyme	LIPA	ENSG00000107798	missing enzyme	HYDROLYTIC ENZYME	Cholesterol ester hydrolytic enzyme	Lysosomal Acid Lipase Deficiency	Orphanet_275761	2015	YES [manual curation]		1993	YES	YES	Kanuma
CHEMBL1201595	LARONIDASE	Enzyme	IDUA	ENSG00000127415	missing enzyme	HYDROLYTIC ENZYME	Dermatan sulfate hydrolytic enzyme	Mucopolysaccharidosis I	Orphanet_79213	2003	YES [manual curation]		1995	YES	YES	Aldurazyme
CHEMBL1201826	IDURSULFASE	Enzyme	IDS	ENSG00000010404	missing enzyme	HYDROLYTIC ENZYME	Heparan sulfate hydrolytic enzyme	Mucopolysaccharidosis Type II	Orphanet_580	2006	YES [manual curation]		1991	YES	YES	Elaprase
CHEMBL2108676	ELOSULFASE ALFA	Enzyme	GALNS	ENSG00000141012	missing enzyme	HYDROLYTIC ENZYME	N-acetylgalactosamine-6-sulfatase enzyme	Mucopolysaccharidosis Type IVa	Orphanet_309297	2014	YES [manual curation]		1992	YES	YES	Vimizim
CHEMBL1201822	GALSULFASE	Enzyme	ARSB	ENSG00000113273	missing enzyme	HYDROLYTIC ENZYME	N-acetylgalactosamine 4-sulfatase enzyme	Mucopolysaccharidosis Type Vii	Orphanet_583	2005	YES [manual curation]		1991	YES	YES	Naglazyme
CHEMBL3707382	VESTRONIDASE ALFA	Enzyme	GUSB	ENSG00000169919	missing enzyme	HYDROLYTIC ENZYME	Glycosaminoglycans hydrolytic enzyme	Mucopolysaccharidosis Type VII	Orphanet_584	2017	YES [manual curation]		1991	YES	YES	Mepsevii
CHEMBL3544921	CERLIPONASE ALFA	Enzyme	PPT1	ENSG00000131238	missing enzyme	PROTEOLYTIC ENZYME	Polypeptides proteolytic enzyme	Neuronal Ceroid Lipofuscinosis Type 2 Disease	Orphanet_228349	2017	YES [manual curation]		1997	YES	YES	Brineura
CHEMBL4297802	PEGVALIASE	Enzyme	PAH	ENSG00000171759	missing enzyme	HYDROLYTIC ENZYME	Phenylalanine hydrolytic enzyme	Phenylketonuria	Orphanet_716	2018	YES [manual curation]		1986	YES	YES	Palynziq
CHEMBL4298010	VELMANASE ALFA	Enzyme	MAN2B1	ENSG00000104774	missing enzyme	HYDROLYTIC ENZYME	High mannose oligosaccharides hydrolytic enzym	Alpha-Mannosidosis	Orphanet_61	2018	YES [manual curation]		1997	YES	YES	Lamzede
CHEMBL4650275	LUMASIRAN	Oligonucleotide	HAO1	ENSG00000101323	nucleic-acid	RNAI INHIBITOR	Hydroxyacid oxidase 1 mRNA RNAi inhibitor	Primary Hyperoxaluria Type 1	Orphanet_93598	2020	YES [manual curation]		1991	YES	YES	Oxlumo
CHEMBL4594265	GIVOSIRAN	Oligonucleotide	ALAS1	ENSG00000023330	nucleic-acid	RNAI INHIBITOR	5-aminolevulinate synthase mRNA RNAi inhibitor	Acute Hepatic Porphyria	Orphanet_95157	2019	YES [manual curation]		1991	YES	YES	Givlaari
CHEMBL2219536	MIPOMERSEN	Oligonucleotide	APOB	ENSG00000084674	nucleic-acid	ANTISENSE INHIBITOR	Apo-B 100 mRNA antisense inhibitor	Familial Hypercholesterolemia	EFO_0004911	2013	YES		1986	YES	YES	Kynamro
CHEMBL3301624	SETMELANOTIDE	Protein	MC4R	ENSG00000166603	single protein	AGONIST	Melanocortin receptor 4 agonist	Obesity	EFO_0001073	2020	YES		1998	YES	YES	Imcivree
CHEMBL2107857	METRELEPTIN	Protein	LEPR	ENSG00000116678	single protein	AGONIST	Leptin receptor agonist	Lipodystrophy	EFO_1000727	2014	YES [manual curation]		1998	YES	YES	Myalept
CHEMBL2108304	ALIPOGENE TIPARVOVEC [EMA only]	Gene	LPL	ENSG00000175445	single protein	HYDROLYTIC ENZYME	Triglyceride hydrolytic enzyme	Lipoprotein Lipase Deficiency	Orphanet_309015	2012	YES [manual curation]		1991	YES	YES	Glybera
CHEMBL3990046	ELIVALDOGENE AUTOTEMCEL [EMA only]	Gene	ABCD1	ENSG00000101986	single protein	POSITIVE MODULATOR	Adrenoleukodystrophy protein modulator	Cerebral Adrenoleukodystrophy	Orphanet_139396	2021	YES [manual curation]		1993	YES	YES	Skysona
