TRAIT	traitFromSource	traitFromSourceMappedIds	MESH
CaBrstMed	Takes medication for breast cancer?	EFO_0000305	
CaColonMed	Takes medication for colon cancer/rectal cancer?	EFO_0007010;EFO_1001951	
CaLungMed	Takes medication for lung cancer?	EFO_0007010;MONDO_0008903	
CaOth	Other cancer	MONDO_0004992	
CaOthMed	Takes medication for other cancer?	EFO_0007010;MONDO_0004992	
CaProsMed	Takes medication for prostate cancer?	EFO_0007010;MONDO_0008315	D011471
CaSkinMed	Takes medication for skin cancer?	EFO_0007010;MONDO_0002898	
Chloride_BSP_Max_INT	chloride  (maximum, inv-norm transformed)	EFO_0009284	
Chloride_BSP_Mean_INT	chloride  (mean, inv-norm transformed)	EFO_0009284	
Chloride_BSP_Min_INT	chloride  (minimum, inv-norm transformed)	EFO_0009284	
CircCADMed	Takes medication for coronary artery/ coronary heart disease?	EFO_0001645;EFO_0007010	D017202
CircCHFMed	Takes medication for congestive heart failure?	EFO_0000373;EFO_0007010	
CircCholMed	Takes medication for high cholesterol?	EFO_0007010;HP_0003124	
CircClotMed	Takes medication for blood clot/ pulmonary embolism/ deep vein thrombosis (DVT)?	EFO_0003907;EFO_0007010	
CircHrtAtkMed	Takes medication for heart attack?	EFO_0000612;EFO_0007010	D009203
CircHTN	High blood pressure / hypertension	EFO_0000537	D006973
CircHTNMed	Takes medication for high blood pressure?	EFO_0000537;EFO_0009927	D006973
CircOth	Other circulatory problem	EFO_0000319	D002318
CircOthMed	Takes medication for circulatory problem?	EFO_0000319;EFO_0007010	D002318
CircPVDMed	Takes medication for peripheral vascular disease?	EFO_0003875;EFO_0007010	D016491
CircStrk	Stroke	EFO_0000712	D020521
CircStrkMed	Takes medication for stroke?	EFO_0000712;EFO_0007010	D020521
CircTIAMed	Takes medication for transient ischemic attack (TIA)?	EFO_0003764;EFO_0007010	D002546
CKMB_Abs_Max_INT	creatine kinase-MB (CKMB, absolute, maximum, inv-norm transformed)	EFO_0004534	
CKMB_Abs_Mean_INT	creatine kinase-MB (CKMB, absolute, mean, inv-norm transformed)	EFO_0004534	
CKMB_Abs_Min_INT	creatine kinase-MB (CKMB, absolute, minimum, inv-norm transformed)	EFO_0004534	
CKMB_Fra_Max_INT	creatine kinase-MB (CKMB, fraction, maximum, inv-norm transformed)	EFO_0004534	
CKMB_Fra_Mean_INT	creatine kinase-MB (CKMB, fraction, mean, inv-norm transformed)	EFO_0004534	
CKMB_Fra_Min_INT	creatine kinase-MB (CKMB, fraction, minimum, inv-norm transformed)	EFO_0004534	
Creat_BSP_Max_INT	creatinine (maximum, inv-norm transformed)	OBA_2050096	
Creat_BSP_Mean_INT	creatinine (mean, inv-norm transformed)	OBA_2050096	
Creat_BSP_Min_INT	creatinine (minimum, inv-norm transformed)	OBA_2050096	
CRP_dL_Max_INT	C-reactive protein (CRP, dL, maximum, inv-norm transformed)	EFO_0004458	
CRP_dL_Mean_INT	C-reactive protein (CRP, dL, mean, inv-norm transformed)	EFO_0004458	
CRP_dL_Min_INT	C-reactive protein (CRP, dL, minimum, inv-norm transformed)	EFO_0004458	
CRP_L_Max_INT	C-reactive protein (CRP, L, maximum, inv-norm transformed)	EFO_0004458	
CRP_L_Mean_INT	C-reactive protein (CRP, L, mean, inv-norm transformed)	EFO_0004458	
CRP_L_Min_INT	C-reactive protein (CRP, L, minimum, inv-norm transformed)	EFO_0004458	
DadCaLung	Biological Father:  Cancer, Lung	EFO_0006953	
DadCircCAD	Biological Father: Coronary Artery / Coronary Heart Disease	EFO_0000493;EFO_0001645	D017202
DadCircChol	Biological Father: High cholesterol	EFO_0000493;HP_0003124	
DadCircHTN	Biological Father: High blood pressure	EFO_0000493;EFO_0000537	D006973
DadCircStrk	Biological Father: Stroke / Transient Ischemic Attack (TIA)	EFO_0000493;EFO_0003764	D002546
DadDoAsth	Biological Father: Asthma	EFO_0000493;MONDO_0004979	D001249
DadDoKid	Biological Father: Kidney Disease	EFO_0000493;EFO_0003086	D007674
DadDoLiver	Biological Father: Liver Condition	EFO_0000493;EFO_0001421	D008107
DadDoLung	Biological Father: Chronic Lung Disease including COPD, Emphysema or Bronchitis	EFO_0000493;EFO_0009910	
