UKBPPP_ProteinID	olink_target_fullname	OlinkID	UniProt	Assay	Panel	Panel_Lot_Nr	UniProt2	HGNC.symbol	ensembl_id	chr	gene_start	gene_end	Strand	Dilution_factor	block	expansion
AARSD1:Q9BTE6:OID21311:v1	Alanyl-tRNA editing protein Aarsd1	OID21311	Q9BTE6	AARSD1	Oncology	B04412	Q9BTE6	AARSD1	ENSG00000266967	17	42950526	42964498	-1	1:1	B	no
ABHD14B:Q96IU4:OID20921:v1	Protein ABHD14B	OID20921	Q96IU4	ABHD14B	Neurology	B04414	Q96IU4	ABHD14B	ENSG00000114779	3	51968510	51983409	-1	1:1	B	no
ABL1:P00519:OID21280:v1	Tyrosine-protein kinase ABL1	OID21280	P00519	ABL1	Oncology	B04412	P00519	ABL1	ENSG00000097007	9	130713016	130887675	1	1:1	B	no
ACAA1:P09110:OID21269:v1	3-ketoacyl-CoA thiolase, peroxisomal	OID21269	P09110	ACAA1	Oncology	B04412	P09110	ACAA1	ENSG00000060971	3	38103129	38137242	-1	1:1	A	no
ACAN:P16112:OID20159:v1	Aggrecan core protein	OID20159	P16112	ACAN	Cardiometabolic	B04413	P16112	ACAN	ENSG00000157766	15	88803436	88875353	1	1:10	B	no
ACE2:Q9BYF1:OID20105:v1	Angiotensin-converting enzyme 2	OID20105	Q9BYF1	ACE2	Cardiometabolic	B04413	Q9BYF1	ACE2	ENSG00000130234	X	15494566	15607236	-1	1:1	A	no
ACOX1:Q15067:OID20124:v1	Peroxisomal acyl-coenzyme A oxidase 1	OID20124	Q15067	ACOX1	Cardiometabolic	B04413	Q15067	ACOX1	ENSG00000161533	17	75941507	75979177	-1	1:10	B	no
ACP5:P13686:OID20314:v1	Tartrate-resistant acid phosphatase type 5	OID20314	P13686	ACP5	Cardiometabolic	B04413	P13686	ACP5	ENSG00000102575	19	11574660	11579008	-1	1:100	C	no
ACP6:Q9NPH0:OID21432:v1	Lysophosphatidic acid phosphatase type 6	OID21432	Q9NPH0	ACP6	Oncology	B04412	Q9NPH0	ACP6	ENSG00000162836	1	147629652	147670524	-1	1:1	C	no
ACTA2:P62736:OID20079:v1	Actin, aortic smooth muscle	OID20079	P62736	ACTA2	Cardiometabolic	B04413	P62736	ACTA2	ENSG00000107796	10	88935074	88991339	-1	1:1	A	no
ACTN4:O43707:OID20435:v1	Alpha-actinin-4	OID20435	O43707	ACTN4	Inflammation	B04411	O43707	ACTN4	ENSG00000130402	19	38647649	38731589	1	1:1	A	no
ACVRL1:P37023:OID20999:v1	Serine/threonine-protein kinase receptor R3	OID20999	P37023	ACVRL1	Neurology	B04414	P37023	ACVRL1	ENSG00000139567	12	51906908	51923361	1	1:1	B	no
ACY1:Q03154:OID20137:v1	Aminoacylase-1	OID20137	Q03154	ACY1	Cardiometabolic	B04413	Q03154	ACY1	ENSG00000243989	3	51983340	51989197	1	1:10	B	no
ADA:P00813:OID20645:v1	Adenosine deaminase	OID20645	P00813	ADA	Inflammation	B04411	P00813	ADA	ENSG00000196839	20	44619522	44652233	-1	1:1	C	no
ADA2:Q9NZK5:OID20394:v1	Adenosine deaminase 2	OID20394	Q9NZK5	ADA2	Cardiometabolic	B04413	Q9NZK5	ADA2	ENSG00000093072	22	17178790	17258235	-1	1:1000	D	no
ADAM15:Q13444:OID20109:v1	Disintegrin and metalloproteinase domain-containing protein 15	OID20109	Q13444	ADAM15	Cardiometabolic	B04413	Q13444	ADAM15	ENSG00000143537	1	155050566	155062775	1	1:1	A	no
ADAM22:Q9P0K1:OID21001:v1	Disintegrin and metalloproteinase domain-containing protein 22	OID21001	Q9P0K1	ADAM22	Neurology	B04414	Q9P0K1	ADAM22	ENSG00000008277	7	87934143	88202889	1	1:1	B	no
ADAM23:O75077:OID20651:v1	Disintegrin and metalloproteinase domain-containing protein 23	OID20651	O75077	ADAM23	Inflammation	B04411	O75077	ADAM23	ENSG00000114948	2	206443532	206621127	1	1:1	C	no
ADAM8:P78325:OID21039:v1	Disintegrin and metalloproteinase domain-containing protein 8	OID21039	P78325	ADAM8	Neurology	B04414	P78325	ADAM8	ENSG00000151651	10	133262420	133276868	-1	1:10	C	no
ADAMTS13:Q76LX8:OID20249:v1	A disintegrin and metalloproteinase with thrombospondin motifs 13	OID20249	Q76LX8	ADAMTS13	Cardiometabolic	B04413	Q76LX8	ADAMTS13	ENSG00000160323	9	133414358	133459402	1	1:100	C	no
ADAMTS15:Q8TE58:OID21275:v1	A disintegrin and metalloproteinase with thrombospondin motifs 15	OID21275	Q8TE58	ADAMTS15	Oncology	B04412	Q8TE58	ADAMTS15	ENSG00000166106	11	130448645	130476645	1	1:1	B	no
ADAMTS16:Q8TE57:OID20089:v1	A disintegrin and metalloproteinase with thrombospondin motifs 16	OID20089	Q8TE57	ADAMTS16	Cardiometabolic	B04413	Q8TE57	ADAMTS16	ENSG00000145536	5	5140330	5320304	1	1:1	A	no
ADAMTS8:Q9UP79:OID21502:v1	A disintegrin and metalloproteinase with thrombospondin motifs 8	OID21502	Q9UP79	ADAMTS8	Oncology	B04412	Q9UP79	ADAMTS8	ENSG00000134917	11	130404923	130428609	-1	1:10	D	no
ADCYAP1R1:P41586:OID21188:v1	Pituitary adenylate cyclase-activating polypeptide type I receptor	OID21188	P41586	ADCYAP1R1	Oncology	B04412	P41586	ADCYAP1R1	ENSG00000078549	7	31052308	31111479	1	1:1	A	no
ADGRB3:O60242:OID20974:v1	Adhesion G protein-coupled receptor B3	OID20974	O60242	ADGRB3	Neurology	B04414	O60242	ADGRB3	ENSG00000135298	6	68635282	69390571	1	1:1	B	no
ADGRE2:Q9UHX3:OID20755:v1	Adhesion G protein-coupled receptor E2	OID20755	Q9UHX3	ADGRE2	Inflammation	B04411	Q9UHX3	ADGRE2	ENSG00000127507	19	14732392	14778560	-1	1:10	D	no
ADGRE5:P48960:OID20260:v1	CD97 antigen	OID20260	P48960	ADGRE5	Cardiometabolic	B04413	P48960	ADGRE5	ENSG00000123146	19	14380501	14408725	1	1:100	C	no
ADGRG1:Q9Y653:OID21294:v1	Adhesion G-protein coupled receptor G1	OID21294	Q9Y653	ADGRG1	Oncology	B04412	Q9Y653	ADGRG1	ENSG00000205336	16	57610652	57665580	1	1:1	B	no
ADGRG2:Q8IZP9:OID20189:v1	Adhesion G-protein coupled receptor G2	OID20189	Q8IZP9	ADGRG2	Cardiometabolic	B04413	Q8IZP9	ADGRG2	ENSG00000173698	X	18989307	19122637	-1	1:10	B	no
ADH4:P08319:OID20117:v1	All-trans-retinol dehydrogenase [NAD	OID20117	P08319	ADH4	Cardiometabolic	B04413	P08319	ADH4	ENSG00000198099	4	99123657	99157792	-1	1:1	A	no
ADM:P35318:OID21467:v1	ADM	OID21467	P35318	ADM	Oncology	B04412	P35318	ADM	ENSG00000148926	11	10305073	10307397	1	1:1	C	no
AFP:P02771:OID20978:v1	Alpha-fetoprotein	OID20978	P02771	AFP	Neurology	B04414	P02771	AFP	ENSG00000081051	4	73431138	73456174	1	1:1	B	no
AGER:Q15109:OID20756:v1	Advanced glycosylation end product-specific receptor	OID20756	Q15109	AGER	Inflammation	B04411	Q15109	AGER	ENSG00000204305	6	32180968	32184322	-1	1:10	D	no
AGR2:O95994:OID20896:v1	Anterior gradient protein 2 homolog	OID20896	O95994	AGR2	Neurology	B04414	O95994	AGR2	ENSG00000106541	7	16791811	16833433	-1	1:1	A	no
AGR3:Q8TD06:OID21243:v1	Anterior gradient protein 3	OID21243	Q8TD06	AGR3	Oncology	B04412	Q8TD06	AGR3	ENSG00000173467	7	16859412	16881987	-1	1:1	A	no
AGRN:O00468:OID20786:v1	Agrin	OID20786	O00468	AGRN	Inflammation	B04411	O00468	AGRN	ENSG00000188157	1	1020120	1056118	1	1:10	D	no
AGRP:O00253:OID20658:v1	Agouti-related protein	OID20658	O00253	AGRP	Inflammation	B04411	O00253	AGRP	ENSG00000159723	16	67482571	67483547	-1	1:1	C	no
AGXT:P21549:OID20139:v1	Serine--pyruvate aminotransferase	OID20139	P21549	AGXT	Cardiometabolic	B04413	P21549	AGXT	ENSG00000172482	2	240868824	240880502	1	1:10	B	no
AHCY:P23526:OID20199:v1	Adenosylhomocysteinase	OID20199	P23526	AHCY	Cardiometabolic	B04413	P23526	AHCY	ENSG00000101444	20	34280268	34311802	-1	1:10	B	no
AHSP:Q9NZD4:OID21078:v1	Alpha-hemoglobin-stabilizing protein	OID21078	Q9NZD4	AHSP	Neurology	B04414	Q9NZD4	AHSP	ENSG00000169877	16	31527900	31528803	1	1:100	D	no
AIF1:P55008:OID21234:v1	Allograft inflammatory factor 1	OID21234	P55008	AIF1	Oncology	B04412	P55008	AIF1	ENSG00000204472	6	31615217	31617021	1	1:1	A	no
AIFM1:O95831:OID21287:v1	Apoptosis-inducing factor 1, mitochondrial	OID21287	O95831	AIFM1	Oncology	B04412	O95831	AIFM1	ENSG00000156709	X	130124666	130165879	-1	1:1	B	no
AK1:P00568:OID20122:v1	Adenylate kinase isoenzyme 1	OID20122	P00568	AK1	Cardiometabolic	B04413	P00568	AK1	ENSG00000106992	9	127866486	127877675	-1	1:10	B	no
AKR1B1:P15121:OID21244:v1	Aldo-keto reductase family 1 member B1	OID21244	P15121	AKR1B1	Oncology	B04412	P15121	AKR1B1	ENSG00000085662	7	134442356	134459284	-1	1:1	A	no
